mode,rough,surface
1,0,Bottom 45
2,"30,34",Bottom 45
3,"46,2",Bottom 45
4,"24,21",Bottom 45
5,"50,84",Bottom 45
6,"32,66",Bottom 45
7,"26,73",Bottom 45
8,"38,83",Bottom 45
9,"44,19",Bottom 45
10,"36,92",Bottom 45
11,"32,54",Bottom 45
12,"42,51",Bottom 45
13,"34,14",Bottom 45
14,"29,47",Bottom 45
15,"30,47",Bottom 45
1,"16,52",side
2,"13,68",side
3,"14,36",side
4,"12,74",side
5,"13,87",side
6,"13,32",side
7,"17,92",side
8,"18,44",side
9,15,side
10,"11,44",side
11,"16,43",side
12,"15,18",side
13,"14,47",side
14,"12,57",side
15,"18,3",side
1,"12,66",top
2,"12,03",top
3,"13,46",top
4,"10,18",top
5,"11,64",top
6,"11,88",top
7,"16,62",top
8,"13,7",top
9,"12,63",top
10,"15,41",top
11,"17,07",top
12,"15,53",top
13,"16,32",top
14,"15,1",top
15,"14,81",top
