id,speed,power,total_pixels,porosity_pixels,surface,% porosity,red
1,1500,150,184101,15983,bottom, 0.086816476,0
2,2000,150,202072,29939,bottom, 0.148160062,1
3,2500,150,166675,45738,bottom, 0.274414279,1
4,3000,150,189805,24954,bottom, 0.131471774,1
5,3500,150,160176,55800,bottom, 0.348366797,1
6,1500,200,147004,365,bottom,   0.002482926,1
7,2000,200,205020,20263,bottom, 0.09883426,0
8,2500,200,199104,13076,bottom, 0.065674221,1
9,3000,200,189731,28416,bottom, 0.149769937,1
10,3500,200,223036,36350,bottom,0.162978174,1
11,1500,250,175560,175,bottom,  0.00099681,0
12,2000,250,133867,7781,bottom, 0.058124855,0
13,2500,250,206625,10401,bottom,0.050337568,1
14,3000,250,266903,12982,bottom,0.048639393,0
15,3500,250,196000,34784,bottom,0.177469388,0
16,1500,300,118500,376,bottom,  0.003172996,0
17,2000,300,147840,2393,bottom, 0.016186418,0
18,2500,300,110079,3270,bottom, 0.029705938,1
19,3000,300,109272,654,bottom,  0.005985065,0
20,3500,300,124800,1637,bottom, 0.013116987,1
21,1500,350,341952,299,bottom,  0.000874392,0
22,2000,350,381225,246,bottom,  0.000645288,1
23,2500,350,110920,1085,bottom, 0.009781825,1
24,3000,350,120648,1589,bottom, 0.013170546,0
25,3500,350,368918,4304,bottom, 0.011666549,1
26,1500,150,130806,5980,front,  0.045716557,0
27,2000,150,142709,1006,front,  0.00704931,1
28,2500,150,153408,7462,front,  0.048641531,1
29,3000,150,195650,10788,front, 0.055139279,0
30,3500,150,109359,29126,front, 0.266333818,1
31,1500,200,132790,109,front,   0.000820845,1
32,2000,200,4251184,50089,front,0.011782365,1
33,2500,200,149178,7943,front,  0.053245117,0
34,3000,200,164045,4853,front,  0.029583346,1
35,3500,200,281367,14675,front, 0.052156081,1
36,1500,250,285228,342,front,   0.001199041,1
37,2000,250,174570,686,front,   0.003929656,0
38,2500,250,196560,376,front,   0.001912902,1
39,3000,250,167750,1214,front,  0.00723696,1
40,3500,250,142675,4005,front,  0.02807079,1
41,1500,300,169290,705,front,   0.004164452,0
42,2000,300,116283,204,front,   0.001754341,0
43,2500,300,102660,488,front,   0.004753555,0
44,3000,300,140712,551,front,   0.0039158,1
45,3500,300,108720,564,front,   0.005187638,0
46,1500,350,134316,233,front,   0.001734715,1
47,2000,350,134136,591,front,   0.004405976,0
48,2500,350,107874,3857,front,  0.035754677,0
49,3000,350,200550,774,front,   0.003859387,1
50,3500,350,125994,496,front,   0.003936695,1
